id,Time,vehicle,Speed(km/h),Number-Plate
450,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,378,Unclear
451,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,194,Unclear
452,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,172,Unclear
454,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,208,Unclear
453,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,363,Unclear
455,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,460,Unclear
456,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,331,Unclear
459,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,345,Unclear
460,vlc-record-2024-03-06-14h42m48s-Traffic_4,truck,165,Unclear
461,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,190,Unclear
462,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,187,Unclear
463,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,475,Unclear
464,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,162,Unclear
465,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,487,Unclear
466,vlc-record-2024-03-06-14h42m48s-Traffic_4,car,70,Unclear
6,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,143,Unclear
4,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,38,Unclear
10,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,79,Unclear
11,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,111,Unclear
12,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,121,Unclear
14,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,78,Unclear
15,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,118,Unclear
16,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,104,Unclear
18,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,69,Unclear
24,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,75,Unclear
25,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,97,Unclear
30,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,132,Unclear
31,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,67,Unclear
32,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,72,Unclear
34,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,92,Unclear
35,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,75,Unclear
37,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,68,Unclear
38,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,92,Unclear
40,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,141,Unclear
41,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,64,Unclear
47,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,105,Unclear
46,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,58,Unclear
53,vlc-record-2024-03-06-14h41m22s-Traffic_4,car,108,Unclear
